,gw_euid,mvt,ts,node_euid,place,sub_type
4942,000D6F000C362FB5,18,2017-06-09 00:12:46,00158D0001599CC2,46,20
4941,000D6F000C362FB5,18,2017-06-09 00:13:51,00158D0000E7C56E,29,20
4940,000D6F000C362FB5,18,2017-06-09 00:16:30,00158D0001599CC2,46,20
4939,000D6F000C362FB5,18,2017-06-09 00:16:34,00158D0000E7C56E,29,20
4938,000D6F000C362FB5,18,2017-06-09 00:17:36,00158D0001599CC2,46,20
4937,000D6F000C362FB5,18,2017-06-09 00:21:15,00158D0000E7C56E,29,20
4936,000D6F000C362FB5,18,2017-06-09 00:32:25,00158D0001599CC2,46,20
4935,000D6F000C362FB5,18,2017-06-09 00:32:30,00158D0000E7C56E,29,20
4934,000D6F000C362FB5,18,2017-06-09 00:35:15,00158D0001599CC2,46,20
4933,000D6F000C362FB5,18,2017-06-09 00:42:23,00158D0000E7C56E,29,20
4932,000D6F000C362FB5,18,2017-06-09 00:45:23,00158D0001599CC2,46,20
4931,000D6F000C362FB5,18,2017-06-09 00:45:27,00158D0000E7C56E,29,20
4930,000D6F000C362FB5,18,2017-06-09 00:46:59,00158D0001599CC2,46,20
4929,000D6F000C362FB5,18,2017-06-09 00:50:37,00158D0000E7C56E,29,20
4928,000D6F000C362FB5,18,2017-06-09 00:53:51,00158D0001599CC2,46,20
4927,000D6F000C362FB5,18,2017-06-09 01:00:33,00158D0000E7C56E,29,20
4926,000D6F000C362FB5,18,2017-06-09 01:01:40,00158D0001599CC2,46,20
4925,000D6F000C362FB5,18,2017-06-09 01:01:46,00158D0000E7C56E,29,20
4924,000D6F000C362FB5,18,2017-06-09 01:02:41,00158D0001599CC2,46,20
4923,000D6F000C362FB5,18,2017-06-09 01:02:47,00158D0000E7C56E,29,20
4922,000D6F000C362FB5,18,2017-06-09 01:05:44,00158D0001599CC2,46,20
4921,000D6F000C362FB5,18,2017-06-09 01:05:47,00158D0000E7C56E,29,20
4920,000D6F000C362FB5,18,2017-06-09 01:14:36,00158D0001599CC2,46,20
4919,000D6F000C362FB5,18,2017-06-09 01:14:49,00158D0000E7C56E,29,20
4918,000D6F000C362FB5,18,2017-06-09 01:43:32,00158D0001599CC2,46,20
4917,000D6F000C362FB5,18,2017-06-09 01:46:36,00158D0000E7C56E,29,20
4916,000D6F000C362FB5,18,2017-06-09 01:48:25,00158D0001599CC2,46,20
4915,000D6F000C362FB5,18,2017-06-09 01:58:03,00158D00010AD2F0,17,20
4914,000D6F000C362FB5,18,2017-06-09 01:58:14,00158D0000E7C56E,29,20
4913,000D6F000C362FB5,18,2017-06-09 02:00:07,00158D00015A9894,4,20
4912,000D6F000C362FB5,18,2017-06-09 02:00:50,00158D0000F430BD,5,20
4911,000D6F000C362FB5,18,2017-06-09 02:02:57,00158D00015A9894,4,20
4910,000D6F000C362FB5,18,2017-06-09 02:15:42,00158D0000F430BD,5,20
4909,000D6F000C362FB5,18,2017-06-09 02:19:33,00158D00015A9894,4,20
4908,000D6F000C362FB5,18,2017-06-09 02:20:36,00158D0000E7C56E,29,20
4907,000D6F000C362FB5,18,2017-06-09 02:22:27,00158D0001599CC2,46,20
4906,000D6F000C362FB5,18,2017-06-09 02:22:40,00158D0000E7C56E,29,20
4905,000D6F000C362FB5,18,2017-06-09 02:23:28,00158D0001599CC2,46,20
4904,000D6F000C362FB5,18,2017-06-09 02:44:15,00158D0000E7C56E,29,20
4903,000D6F000C362FB5,18,2017-06-09 02:44:16,00158D00015A992B,46,20
